	Name	BeamID	E	N	U
0	0	0	-70.92320510713034	-90.28765887906775	0
1	1	0	-70.656213654991	-81.79185311635956	0
2	2	0	-70.38922220285167	-73.29604735272005	0
3	3	0	-70.12223075065413	-64.80024159001186	0
4	4	0	-69.85523929851479	-56.304435826372355	0
5	5	0	-69.58824784631724	-47.80863006366417	0
6	6	0	-69.32125639417791	-39.31282430095598	0
7	7	0	-69.05426494203857	-30.81701853731647	0
8	8	0	-68.78727348984103	-22.321212774608284	0
9	9	0	-68.52028203770169	-13.825407010968775	0
10	10	0	-67.71930768116727	11.66201027808711	0
11	11	0	-67.31882050292916	24.405718923080713	0
12	12	0	-67.05182905078982	32.9015246857889	0
13	13	0	-66.78483759859228	41.39733044942841	0
14	14	0	-66.51784614645294	49.893136212136596	0
15	15	0	-66.2508546943136	58.38894197484478	0
16	16	0	-65.98386324211606	66.8847477384843	0
17	17	0	-65.71687178997672	75.38055350119248	0
18	18	0	-65.44988033777918	83.87635926483199	0
19	19	0	-65.18288888563984	92.37216502754018	0
20	20	0	-64.62631377685466	-90.4855466610752	0
21	21	0	-64.35932232471532	-81.98974089836702	0
22	22	0	-64.09233087251778	-73.49393513379619	0
23	23	0	-63.82533942037844	-64.99812937201932	0
24	24	0	-63.5583479681809	-56.502323609311134	0
25	25	0	-63.29135651604156	-48.006517845671624	0
26	26	0	-63.024365063844016	-39.51071208296344	0
27	27	0	-62.75737361170468	-31.014906319323927	0
28	28	0	-62.49038215956534	-22.51910055661574	0
29	29	0	-62.2233907073678	-14.02329479297623	0
30	30	0	-61.95639925522846	-5.527489030268043	0
31	31	0	-61.68940780303092	2.968316732440144	0
32	32	0	-61.42241635083337	11.464122496079654	0
33	33	0	-61.02192917265347	24.207831140141934	0
34	34	0	-60.75493772045593	32.703636903781444	0
35	35	0	-60.48794626831659	41.19944266648963	0
36	36	0	-60.22095481611905	49.69524843012914	0
37	37	0	-59.95396336397971	58.19105419283733	0
38	38	0	-59.686971911840374	66.68685995647684	0
39	39	0	-59.41998045964283	75.18266571918502	0
40	40	0	-59.1529890075617	83.67847148189321	0
41	41	0	-58.88599755530595	92.17427724553272	0
42	42	0	-58.329422446578974	-90.68343444401398	0
43	43	0	-58.06243099438143	-82.18762868037447	0
44	44	0	-57.79543954224209	-73.69182291766629	0
45	45	0	-57.52844809004455	-65.19601715402678	0
46	46	0	-57.26145663796342	-56.70021139131859	0
47	47	0	-56.99446518570767	-48.20440562674776	0
48	48	0	-56.72747373356833	-39.70859986497089	0
49	49	0	-56.460482281428995	-31.212794102262706	0
50	50	0	-56.19349082923145	-22.716988338623196	0
51	51	0	-55.926499377092114	-14.221182575915009	0
52	52	0	-55.65950792483636	-5.725376812275499	0
53	53	0	-55.39251647275523	2.770428950432688	0
54	54	0	-55.12552502055769	11.266234714072198	0
55	55	0	-54.72503784231958	24.00994335813448	0
56	56	0	-54.45804639018024	32.50574912177399	0
57	57	0	-54.1910549379827	41.001554884482175	0
58	58	0	-53.92406348584336	49.497360648121685	0
59	59	0	-53.657072033704026	57.99316641082987	0
60	60	0	-53.39008058150648	66.48897217353806	0
61	61	0	-53.123089129367145	74.98477793717757	0
62	62	0	-52.8560976771696	83.48058369988576	0
63	63	0	-52.589106225030264	91.97638946352527	0
64	64	0	-52.32211477283272	100.47219522623345	0
65	65	0	-52.03253111624508	-90.88132222602144	0
66	66	0	-51.765539664105745	-82.38551646238193	0
67	67	0	-51.4985482119082	-73.88971069874242	0
68	68	0	-51.231556759768864	-65.39390493603423	0
69	69	0	-50.96456530757132	-56.898099173326045	0
70	70	0	-50.69757385543198	-48.40229341061786	0
71	71	0	-50.43058240323444	-39.90648764697835	0
72	72	0	-50.1635909510951	-31.41068188427016	0
73	73	0	-49.896599498955766	-22.91487612063065	0
74	74	0	-49.62960804675822	-14.419070357922465	0
75	75	0	-49.362616594618885	-5.923264594282955	0
76	76	0	-49.09562514242134	2.572541168425232	0
77	77	0	-48.828633690282004	11.06834693113342	0
78	78	0	-48.428146512043895	23.812055576127023	0
79	79	0	-48.16115505984635	32.30786133976653	0
80	80	0	-47.894163607707014	40.80366710247472	0
81	81	0	-47.62717215556768	49.299472865182906	0
82	82	0	-47.36018070337013	57.795278628822416	0
83	83	0	-47.0931892512308	66.2910843915306	0
84	84	0	-46.82619779903325	74.78689015517011	0
85	85	0	-46.55920634683571	83.2826959178783	0
86	86	0	-46.29221489469637	91.77850168151781	0
87	87	0	-46.025223442557035	100.274307444226	0
88	88	0	-46.002631238108734	-99.57501577073708	0
89	89	0	-45.7356397859694	-91.0792100080289	0
90	90	0	-45.46864833377185	-82.58340424438938	0
91	91	0	-45.201656881632516	-74.0875984816812	0
92	92	0	-44.93466542943497	-65.59179271897301	0
93	93	0	-44.66767397723743	-57.0959869553335	0
94	94	0	-44.40068252509809	-48.600181192625314	0
95	95	0	-44.133691072958754	-40.104375428985804	0
96	96	0	-43.86669962081942	-31.608569666277617	0
97	97	0	-43.59970816862187	-23.112763902638108	0
98	98	0	-43.33271671648254	-14.61695813992992	0
99	99	0	-43.06572526428499	-6.121152377221733	0
100	100	0	-42.798733812145656	2.3746533864177763	0
101	101	0	-42.53174235994811	10.870459149125963	0
102	102	0	-42.13125518171	23.614167794119567	0
103	103	0	-41.864263729570666	32.109973556827754	0
104	104	0	-41.59727227737312	40.60577932046726	0
105	105	0	-41.330280825233785	49.10158508317545	0
106	106	0	-41.06328937309445	57.59739084681496	0
107	107	0	-40.7962979208387	66.09319660952315	0
108	108	0	-40.52930646875757	74.58900237223133	0
109	109	0	-40.262315016560024	83.08480813587084	0
110	110	0	-39.99532356442069	91.58061389857903	0
111	111	0	-39.72833211222314	100.07641966221854	0
112	112	0	-39.70573990777484	-99.77290355367586	0
113	113	0	-39.438748455635505	-91.27709779003635	0
114	114	0	-39.17175700349617	-82.78129202732816	0
115	115	0	-38.904765551240416	-74.28548626368865	0
116	116	0	-38.63777409915929	-65.78968050098047	0
117	117	0	-38.37078264696174	-57.29387473734096	0
118	118	0	-38.103791194822406	-48.79806897463277	0
119	119	0	-37.83679974262486	-40.30226321192458	0
